job,company,location,salary,exp
Product Designer,PT Benteng Multi Indotama,Tangerang,IDR5.000.000 - 7.000.000,1 – 3 tahun
Intern Business Analyst,PT Benteng Multi Indotama,Tangerang,IDR5.000.000 - 7.000.000,1 – 3 tahun
UX Researcher (Junior to Middle),PT Eannovate Creative Technology,Jakarta,IDR5.000.000 - 8.000.000,1 – 3 tahun
Staff Akuntan / Finance,PT Gunung Emas Technical,Surabaya,IDR1.000.000 - 2.500.000,Kurang dari setahun
Sales Executive,PT Gunung Emas Technical,Surabaya,IDR1.000.000 - 2.500.000,Kurang dari setahun
Sales Lead,PT Gunung Emas Technical,Surabaya,IDR1.000.000 - 2.500.000,Kurang dari setahun
Sales & Marketing Senior Staff (Biomass Machinery Specialist) Tangerang,PT Gunung Emas Technical,Surabaya,IDR1.000.000 - 2.500.000,Kurang dari setahun
Sales & Marketing Senior Staff (Biomass Machinery Specialist) Surabaya,PT Gunung Emas Technical,Surabaya,IDR1.000.000 - 2.500.000,Kurang dari setahun
Sales & Marketing Senior Staff (Biomass Machinery Specialist) Surabaya,PT Gunung Emas Technical,Surabaya,IDR1.000.000 - 2.500.000,Kurang dari setahun
Assistant Sales Manager (Mandarin),PT. Hatata Ecommerce Technology,Jakarta,IDR10.000.000 - 14.000.000,Kurang dari setahun
Business Development / Partnership,Pt Yipu Teknologi Alami,Surabaya,IDR4.000.000 - 7.000.000,1 – 3 tahun
Account Executive,Plustik Maju Bersama,Jakarta,IDR7.000.000 - 8.000.000,1 – 3 tahun
Account Executive,Plustik Maju Bersama,Jakarta,IDR7.000.000 - 8.000.000,1 – 3 tahun
Sr Backend Developer,Plustik Maju Bersama,Jakarta,IDR7.000.000 - 8.000.000,1 – 3 tahun
Test Engineer,Pt Nomura Research Institute Indonesia,"Kuningan, Jakarta",IDR8.000.000 - 15.000.000,1 – 3 tahun
Personal Assistant to CEO,Hon&yan,"Penjaringan, Jakarta",IDR5.000.000 - 7.000.000,1 – 3 tahun
Personal Assistant to CEO,Hon&yan,"Penjaringan, Jakarta",IDR5.000.000 - 7.000.000,1 – 3 tahun
Finance Associate,Hon&yan,"Penjaringan, Jakarta",IDR5.000.000 - 7.000.000,1 – 3 tahun
Automated QA Engineer,Hon&yan,"Penjaringan, Jakarta",IDR5.000.000 - 7.000.000,1 – 3 tahun
Head of Marketing and Sales,Salad Nyoo,Yogyakarta,IDR3.500.000 - 5.000.000,1 – 3 tahun
Senior Laravel Developer,Salad Nyoo,Yogyakarta,IDR3.500.000 - 5.000.000,1 – 3 tahun
Creative Director,Salad Nyoo,Yogyakarta,IDR3.500.000 - 5.000.000,1 – 3 tahun
CEO Office,Tentang Anak,Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Staff Pengembalian Kerugian Piutang Martapura,SIMGROUP,Martapura,IDR3.000.000 - 4.000.000,Kurang dari setahun
Infrastructure Engineer & Pre-Sales,SIMGROUP,Martapura,IDR3.000.000 - 4.000.000,Kurang dari setahun
Junior Tax Consultant,SF Consulting,Jakarta,Company prefers not to disclose,Kurang dari setahun
Mobile App Developer,SF Consulting,Jakarta,Company prefers not to disclose,Kurang dari setahun
Finance dan Accounting Section Head,PT. Gedung Bank Exim,Jakarta,Company prefers not to disclose,3 – 5 tahun
Human Resource Executive,eVantage HR Pte. Ltd,Batam,Company prefers not to disclose,1 – 3 tahun
Human Resource Executive,eVantage HR Pte. Ltd,Batam,Company prefers not to disclose,1 – 3 tahun
Frontend Developer,eVantage HR Pte. Ltd,Batam,Company prefers not to disclose,1 – 3 tahun
Frontend Developer,eVantage HR Pte. Ltd,Batam,Company prefers not to disclose,1 – 3 tahun
Assistant IT Manager,Pt Uniair Indotama Cargo,"Sunter, Jakarta",IDR12.000.000 - 15.000.000,1 – 3 tahun
Developer,PT. INTIDATA ANUGRAH PRATAMA,Jakarta,IDR5.000.000 - 20.000.000,1 – 3 tahun
Developer,PT. INTIDATA ANUGRAH PRATAMA,Jakarta,IDR5.000.000 - 20.000.000,1 – 3 tahun
Low Code Developer,PT. INTIDATA ANUGRAH PRATAMA,Jakarta,IDR5.000.000 - 20.000.000,1 – 3 tahun
GM Business,PT. INTIDATA ANUGRAH PRATAMA,Jakarta,IDR5.000.000 - 20.000.000,1 – 3 tahun
Sales Executive ( Digital Printing /Ink),PT. INTIDATA ANUGRAH PRATAMA,Jakarta,IDR5.000.000 - 20.000.000,1 – 3 tahun
Computer-Vision Software Engineering (Remote),PT. INTIDATA ANUGRAH PRATAMA,Jakarta,IDR5.000.000 - 20.000.000,1 – 3 tahun
Architect Interior Designer,Pt Studio Artalenta Indonesia,Seminyak town,IDR4.000.000 - 5.000.000,1 – 3 tahun
Architect Interior Designer,Pt Studio Artalenta Indonesia,Seminyak town,IDR4.000.000 - 5.000.000,1 – 3 tahun
Architect Interior Designer,Pt Studio Artalenta Indonesia,Seminyak town,IDR4.000.000 - 5.000.000,1 – 3 tahun
Finance Manager,Pt Studio Artalenta Indonesia,Seminyak town,IDR4.000.000 - 5.000.000,1 – 3 tahun
.Net Developer,Pt Studio Artalenta Indonesia,Seminyak town,IDR4.000.000 - 5.000.000,1 – 3 tahun
.Net Developer,Pt Studio Artalenta Indonesia,Seminyak town,IDR4.000.000 - 5.000.000,1 – 3 tahun
Corporate Strategy (Entry Level),Bernofarm Pharmaceutical,"Kembangan, Jakarta",Company prefers not to disclose,Kurang dari setahun
Corporate Strategy (Entry Level),Bernofarm Pharmaceutical,"Kembangan, Jakarta",Company prefers not to disclose,Kurang dari setahun
LEGAL STAFF,Pt. Inovasi Solusi Transportasi Indonesia,Yogyakarta,Company prefers not to disclose,1 – 3 tahun
BARISTA,Pt. Kekancan Mukti Group,Semarang,Company prefers not to disclose,1 – 3 tahun
BARISTA,Pt. Kekancan Mukti Group,Semarang,Company prefers not to disclose,1 – 3 tahun
Data Scientist / Analyst,Pt. Kekancan Mukti Group,Semarang,Company prefers not to disclose,1 – 3 tahun
Data Scientist / Analyst,Pt. Kekancan Mukti Group,Semarang,Company prefers not to disclose,1 – 3 tahun
Sales Manager,Open Labs,Jakarta,IDR8.000.000 - 12.000.000,1 – 3 tahun
Sales Manager,Open Labs,Jakarta,IDR8.000.000 - 12.000.000,1 – 3 tahun
Sales & Marketing Manager,Open Labs,Jakarta,IDR8.000.000 - 12.000.000,1 – 3 tahun
Business Development,Pasarwarga.com,"Kebayoran Baru, Jakarta",IDR4.500.000 - 5.500.000,1 – 3 tahun
Backend Laravel Developer,Kiddo.id,"Kuningan, Jakarta",Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Backend Laravel Developer,Kiddo.id,"Kuningan, Jakarta",Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
IT Support,SIMGROUP,Balikpapan,IDR3.000.000 - 4.000.000,Kurang dari setahun
Admin General Affair (Mandarin Speaker),Odysee Education Indonesia,Jakarta,IDR100 - 200,Kurang dari setahun
Life Underwriter Group Head,Odysee Education Indonesia,Jakarta,IDR100 - 200,Kurang dari setahun
Software Engineer (.NET),Odysee Education Indonesia,Jakarta,IDR100 - 200,Kurang dari setahun
Software Engineer (.NET),Odysee Education Indonesia,Jakarta,IDR100 - 200,Kurang dari setahun
DIGITAL MARKETING,PT Panca Wisesa Adhika,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Digital Ads Manager,PT Panca Wisesa Adhika,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Web Developer,PT Panca Wisesa Adhika,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Motion Graphic Designer,PT Panca Wisesa Adhika,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Motion Graphic Designer,PT Panca Wisesa Adhika,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Motion Graphic Designer,PT Panca Wisesa Adhika,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Motion Graphic Designer,PT Panca Wisesa Adhika,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Motion Graphic Designer,PT Panca Wisesa Adhika,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Junior Architect,PT Esprite Nomade,Ubud,IDR4.000.000 - 8.000.000,1 – 3 tahun
HR Project Based staff,PT. Ebdesk Teknologi,Tangerang,IDR4.250.000 - 4.500.000,Kurang dari setahun
Freelance Surveyor [Palembang],PT Paragon Pratama Teknologi (StickEarn),Palembang,Company prefers not to disclose,Kurang dari setahun
Barista,Common Grounds Coffee Roastery,Jakarta,Company prefers not to disclose,1 – 3 tahun
Mobile App Developer (Full Time),PT Eannovate Creative Technology,Jakarta,IDR5.000.000 - 9.000.000,1 – 3 tahun
Mobile App Developer (Full Time),PT Eannovate Creative Technology,Jakarta,IDR5.000.000 - 9.000.000,1 – 3 tahun
Mobile App Developer (Full Time),PT Eannovate Creative Technology,Jakarta,IDR5.000.000 - 9.000.000,1 – 3 tahun
Creative Director,PT Eannovate Creative Technology,Jakarta,IDR5.000.000 - 9.000.000,1 – 3 tahun
Creative Director,PT Eannovate Creative Technology,Jakarta,IDR5.000.000 - 9.000.000,1 – 3 tahun
Creative Director,PT Eannovate Creative Technology,Jakarta,IDR5.000.000 - 9.000.000,1 – 3 tahun
SPV Finance,PT Eannovate Creative Technology,Jakarta,IDR5.000.000 - 9.000.000,1 – 3 tahun
Spv Accounting and TAX,PT Eannovate Creative Technology,Jakarta,IDR5.000.000 - 9.000.000,1 – 3 tahun
Spv Accounting and TAX,PT Eannovate Creative Technology,Jakarta,IDR5.000.000 - 9.000.000,1 – 3 tahun
Junior Architect,High and Low Headhunters,Badung,IDR3.000.000 - 3.500.000,Kurang dari setahun
Freelance Motion Graphic,PT. Mega Harapan Mulia (Kelas.com),"Grogol Petamburan, Jakarta",Company prefers not to disclose,1 – 3 tahun
Freelance Motion Graphic,PT. Mega Harapan Mulia (Kelas.com),"Grogol Petamburan, Jakarta",Company prefers not to disclose,1 – 3 tahun
Front End Developer,PT. Reeracoen Indonesia,"Kuningan, Jakarta",IDR7.000.000 - 10.000.000,1 – 3 tahun
Web Developer,PT. Reeracoen Indonesia,"Kuningan, Jakarta",IDR7.000.000 - 10.000.000,1 – 3 tahun
Enterprise Solutions Consultant,PT. Reeracoen Indonesia,"Kuningan, Jakarta",IDR7.000.000 - 10.000.000,1 – 3 tahun
Senior Telemarketer / Manager,PT. Reeracoen Indonesia,"Kuningan, Jakarta",IDR7.000.000 - 10.000.000,1 – 3 tahun
Senior Telemarketer / Manager,PT. Reeracoen Indonesia,"Kuningan, Jakarta",IDR7.000.000 - 10.000.000,1 – 3 tahun
Senior Software Engineer (Loopback - ExpressJS) (664),Senja,"Kuningan, Jakarta",IDR7.000.000 - 20.000.000,5 – 10 tahun
Android Developer,Senja,"Kuningan, Jakarta",IDR7.000.000 - 20.000.000,5 – 10 tahun
MIXOLOGIST (STAF BEVERAGES),PT. JOOP FINE INTERIORS,"Setiabudi, Jakarta",IDR3.800.000 - 4.000.000,1 – 3 tahun
MIXOLOGIST (STAF BEVERAGES),PT. JOOP FINE INTERIORS,"Setiabudi, Jakarta",IDR3.800.000 - 4.000.000,1 – 3 tahun
MIXOLOGIST (STAF BEVERAGES),PT. JOOP FINE INTERIORS,"Setiabudi, Jakarta",IDR3.800.000 - 4.000.000,1 – 3 tahun
Midde Manual QA,PT. JOOP FINE INTERIORS,"Setiabudi, Jakarta",IDR3.800.000 - 4.000.000,1 – 3 tahun
Midde Manual QA,PT. JOOP FINE INTERIORS,"Setiabudi, Jakarta",IDR3.800.000 - 4.000.000,1 – 3 tahun
Quality Assurance,PT. JOOP FINE INTERIORS,"Setiabudi, Jakarta",IDR3.800.000 - 4.000.000,1 – 3 tahun
PPIC Officer,Bernofarm Pharmaceutical,Sidoarjo,Company prefers not to disclose,Kurang dari setahun
Managed Service Network Engineer,PT Sinergy Informasi Pratama,"Kembangan, Jakarta",Company prefers not to disclose,1 – 3 tahun
Senior UX Researcher,PT Sinergy Informasi Pratama,"Kembangan, Jakarta",Company prefers not to disclose,1 – 3 tahun
Senior Formulator,PT Sinergy Informasi Pratama,"Kembangan, Jakarta",Company prefers not to disclose,1 – 3 tahun
Devops,PT Sinergy Informasi Pratama,"Kembangan, Jakarta",Company prefers not to disclose,1 – 3 tahun
Public Relations Manager,PT Sinergy Informasi Pratama,"Kembangan, Jakarta",Company prefers not to disclose,1 – 3 tahun
React Native Developer,PT Sinergy Informasi Pratama,"Kembangan, Jakarta",Company prefers not to disclose,1 – 3 tahun
GRAPHIC DESIGN / DESIGN GRAFIS,Bstores Indonesia,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
GRAPHIC DESIGN / DESIGN GRAFIS,Bstores Indonesia,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Test Engineer,Bstores Indonesia,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Back End Developer,Bstores Indonesia,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Content Creator,Acmic Indonesia,"Cengkareng, Jakarta",IDR4.000.000 - 5.000.000,1 – 3 tahun
Backend developer,Acmic Indonesia,"Cengkareng, Jakarta",IDR4.000.000 - 5.000.000,1 – 3 tahun
Product Owner,Acmic Indonesia,"Cengkareng, Jakarta",IDR4.000.000 - 5.000.000,1 – 3 tahun
Senior Software Engineer,Acmic Indonesia,"Cengkareng, Jakarta",IDR4.000.000 - 5.000.000,1 – 3 tahun
Backend Developer,Acmic Indonesia,"Cengkareng, Jakarta",IDR4.000.000 - 5.000.000,1 – 3 tahun
"Manager, Merchandiser Brand",Acmic Indonesia,"Cengkareng, Jakarta",IDR4.000.000 - 5.000.000,1 – 3 tahun
Creative Director,Adminkita.com,"Kembangan, Jakarta",IDR4.500.000 - 7.000.000,1 – 3 tahun
Technical Analyst,Adminkita.com,"Kembangan, Jakarta",IDR4.500.000 - 7.000.000,1 – 3 tahun
Data Engineer,Adminkita.com,"Kembangan, Jakarta",IDR4.500.000 - 7.000.000,1 – 3 tahun
Software Engineer,Adminkita.com,"Kembangan, Jakarta",IDR4.500.000 - 7.000.000,1 – 3 tahun
Software Programmer (Serious Games Unity3D),Adminkita.com,"Kembangan, Jakarta",IDR4.500.000 - 7.000.000,1 – 3 tahun
Sales Manager,Adminkita.com,"Kembangan, Jakarta",IDR4.500.000 - 7.000.000,1 – 3 tahun
Sales Manager,Adminkita.com,"Kembangan, Jakarta",IDR4.500.000 - 7.000.000,1 – 3 tahun
Admin Finance and Operational,PT. AUTOMATION JAYA ELECTRIC,"Cakung, Jakarta",IDR4.200.000 - 4.500.000,Kurang dari setahun
Sekretaris Direksi,PT Warna Warni Media,Surabaya,Company prefers not to disclose,1 – 3 tahun
Country Representative - Indonesia,PT Warna Warni Media,Surabaya,Company prefers not to disclose,1 – 3 tahun
Country Representative - Indonesia,PT Warna Warni Media,Surabaya,Company prefers not to disclose,1 – 3 tahun
QA Engineer,PT Warna Warni Media,Surabaya,Company prefers not to disclose,1 – 3 tahun
Mid-Sr. Site Reliability Engineer,PT Warna Warni Media,Surabaya,Company prefers not to disclose,1 – 3 tahun
Social Media Marketing Officer,Beaute Within,Bandung,IDR500.000 - 700.000,Kurang dari setahun
IT Business Analyst - Life Insurance,PT. Asian Sigma Technology,"Setiabudi, Jakarta",IDR9.000.000 - 14.000.000,3 – 5 tahun
Front End Developer,PT. Asian Sigma Technology,Jakarta,IDR12.000.000 - 15.000.000,1 – 3 tahun
Head of Partnerships,PT. INDONESIA NEWS CENTER,"Kebayoran Baru, Jakarta",IDR6.000.000 - 10.000.000,3 – 5 tahun
Head of Partnerships,PT. INDONESIA NEWS CENTER,"Kebayoran Baru, Jakarta",IDR6.000.000 - 10.000.000,3 – 5 tahun
Admin Purchasing,Common Grounds Coffee Roastery,Jakarta,Company prefers not to disclose,1 – 3 tahun
Sales Project,Common Grounds Coffee Roastery,Jakarta,Company prefers not to disclose,1 – 3 tahun
Account Executive/Account Manager,Common Grounds Coffee Roastery,Jakarta,Company prefers not to disclose,1 – 3 tahun
Regional Manager - Southeast Asia,Common Grounds Coffee Roastery,Jakarta,Company prefers not to disclose,1 – 3 tahun
Tiktok Specialist,PT Rintik Natural Indonesia,Bandar Lampung,IDR2.000.000 - 4.000.000,
Tiktok Specialist,PT Rintik Natural Indonesia,Bandar Lampung,IDR2.000.000 - 4.000.000,
Unity Developer,PT Rintik Natural Indonesia,Bandar Lampung,IDR2.000.000 - 4.000.000,
Full-Stack Developer ( REMOTE),PT Rintik Natural Indonesia,Bandar Lampung,IDR2.000.000 - 4.000.000,
Marketing Manager,PT Rintik Natural Indonesia,Bandar Lampung,IDR2.000.000 - 4.000.000,
Content Writer,Super Creator Tech Pte.ltd.,Jakarta,IDR1.850.000 - 3.000.000,3 – 5 tahun
Content Writer,Super Creator Tech Pte.ltd.,Jakarta,IDR1.850.000 - 3.000.000,3 – 5 tahun
Account Manager,Pt Mahakarya Sukses Indonesia,"Pademangan, Jakarta",Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
ESG Specialist,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 18.000.000,1 – 3 tahun
Mid-Sr. Data Engineer,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 18.000.000,1 – 3 tahun
Front End Engineer,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 18.000.000,1 – 3 tahun
Front End Engineer,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 18.000.000,1 – 3 tahun
Telesales Manager,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 18.000.000,1 – 3 tahun
Telesales Manager,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 18.000.000,1 – 3 tahun
Senior Software Engineer,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 18.000.000,1 – 3 tahun
Senior Fullstack Developer (Remote),JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 18.000.000,1 – 3 tahun
Senior MERN,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 18.000.000,1 – 3 tahun
Senior MERN,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 18.000.000,1 – 3 tahun
Videographer,PT. WIE JAYA INDONESIA,Bogor,Company prefers not to disclose,1 – 3 tahun
Software Engineer Mobile,PT. WIE JAYA INDONESIA,Bogor,Company prefers not to disclose,1 – 3 tahun
Manual QA Engineer,PT. WIE JAYA INDONESIA,Bogor,Company prefers not to disclose,1 – 3 tahun
Manual QA Engineer,PT. WIE JAYA INDONESIA,Bogor,Company prefers not to disclose,1 – 3 tahun
"Talent, People & Organization Development Manager",PT. WIE JAYA INDONESIA,Bogor,Company prefers not to disclose,1 – 3 tahun
"Talent, People & Organization Development Manager",PT. WIE JAYA INDONESIA,Bogor,Company prefers not to disclose,1 – 3 tahun
Corporate Business Strategist,PT. WIE JAYA INDONESIA,Bogor,Company prefers not to disclose,1 – 3 tahun
Front End Developer,PT. WIE JAYA INDONESIA,Bogor,Company prefers not to disclose,1 – 3 tahun
Sales Manager,Sysdata.id,Jakarta,IDR15.000.000 - 17.000.000,3 – 5 tahun
Spv Purchasing,Sysdata.id,Jakarta,IDR15.000.000 - 17.000.000,3 – 5 tahun
Spv Purchasing,Sysdata.id,Jakarta,IDR15.000.000 - 17.000.000,3 – 5 tahun
IT Business Analyst,Sysdata.id,Jakarta,IDR15.000.000 - 17.000.000,3 – 5 tahun
IT Business Analyst,Sysdata.id,Jakarta,IDR15.000.000 - 17.000.000,3 – 5 tahun
Customer Relationship Officer,Pt Aims Progrez,Jakarta,Company prefers not to disclose,1 – 3 tahun
General Manager Sales,Pt Aims Progrez,Jakarta,Company prefers not to disclose,1 – 3 tahun
Ecommerce Assistant,Pt Aims Progrez,Jakarta,Company prefers not to disclose,1 – 3 tahun
Frontend Developer (React JS) - IoT and Fintech,Movus Technologies,Jakarta,IDR7.000.000 - 13.000.000,Kurang dari setahun
Tableau Developer,Movus Technologies,Jakarta,IDR7.000.000 - 13.000.000,Kurang dari setahun
Tableau Developer,Movus Technologies,Jakarta,IDR7.000.000 - 13.000.000,Kurang dari setahun
Sales Engineer,PT. Paskal Kreatif Teknologi,Cikarang,IDR3.250.000 - 6.800.000,1 – 3 tahun
Frontend Developer,PT. Paskal Kreatif Teknologi,Cikarang,IDR3.250.000 - 6.800.000,1 – 3 tahun
Graphic Designer,PT Arte Kreasi Indonesia,Bandung,IDR4.000.000 - 4.500.000,1 – 3 tahun
Mobile Developer,PT. Asian Sigma Technology,Jakarta,IDR13.000.000 - 15.000.000,1 – 3 tahun
Admin Account Auction Staff,PT. Balai Lelang Caready,Bekasi,IDR4.800.000 - 5.000.000,1 – 3 tahun
Staff Accounting and Finance,PT. Scooter Victory Inter Part,Bekasi,IDR100 - 200,1 – 3 tahun
Backend Developer,PT. Scooter Victory Inter Part,Bekasi,IDR100 - 200,1 – 3 tahun
Head of Strategist,Mercury Creative Syndicate,"Tebet, Jakarta",IDR15.000.000 - 25.000.000,5 – 10 tahun
Accounting Staff,Panca Budi Group,Tangerang,Company prefers not to disclose,3 – 5 tahun
Outsystems Developer,Panca Budi Group,Tangerang,Company prefers not to disclose,3 – 5 tahun
Finance Manager,Panca Budi Group,Tangerang,Company prefers not to disclose,3 – 5 tahun
Android Developer,Panca Budi Group,Tangerang,Company prefers not to disclose,3 – 5 tahun
Java Developer,Panca Budi Group,Tangerang,Company prefers not to disclose,3 – 5 tahun
Web Developer,Panca Budi Group,Tangerang,Company prefers not to disclose,3 – 5 tahun
Web Developer,Panca Budi Group,Tangerang,Company prefers not to disclose,3 – 5 tahun
Quality Assurance (QA) Tester,Panca Budi Group,Tangerang,Company prefers not to disclose,3 – 5 tahun
Quality Assurance (QA) Tester,Panca Budi Group,Tangerang,Company prefers not to disclose,3 – 5 tahun
Content Creator,Lilybelleclothing,"Taman Sari, Jakarta",IDR4.000.000 - 5.000.000,Kurang dari setahun
Fullstack Developer,Lilybelleclothing,"Taman Sari, Jakarta",IDR4.000.000 - 5.000.000,Kurang dari setahun
Manager Marketing,Haenness Prima Consultindo,"Kebon Jeruk, Jakarta",IDR9.000.000 - 12.000.000,1 – 3 tahun
Data Analyst,Haenness Prima Consultindo,"Kebon Jeruk, Jakarta",IDR9.000.000 - 12.000.000,1 – 3 tahun
HR GENERALIST,PT IBU SAYANG ANAK SUKSES,Surabaya,IDR400 - 500,1 – 3 tahun
FrontEnd Lead,PT IBU SAYANG ANAK SUKSES,Surabaya,IDR400 - 500,1 – 3 tahun
HRD (Korean Speaker),PT FITI Indonesia,"Mampang Prapatan, Jakarta",IDR6.500.000 - 8.000.000,1 – 3 tahun
Technical Support Analyst,PT FITI Indonesia,"Mampang Prapatan, Jakarta",IDR6.500.000 - 8.000.000,1 – 3 tahun
Cloud Consultant Trainer,PT FITI Indonesia,"Mampang Prapatan, Jakarta",IDR6.500.000 - 8.000.000,1 – 3 tahun
ASM (Area Sales Manager) Pontianak,PT FITI Indonesia,"Mampang Prapatan, Jakarta",IDR6.500.000 - 8.000.000,1 – 3 tahun
ASM (Area Sales Manager) Denpasar,PT FITI Indonesia,"Mampang Prapatan, Jakarta",IDR6.500.000 - 8.000.000,1 – 3 tahun
QA Manager,PT FITI Indonesia,"Mampang Prapatan, Jakarta",IDR6.500.000 - 8.000.000,1 – 3 tahun
QA Manager,PT FITI Indonesia,"Mampang Prapatan, Jakarta",IDR6.500.000 - 8.000.000,1 – 3 tahun
E-Commerce Specialist,Kolabora Group,Tangerang,IDR5.000.000 - 5.500.000,1 – 3 tahun
Database Developer,Kolabora Group,Tangerang,IDR5.000.000 - 5.500.000,1 – 3 tahun
SALES TRADITIONAL,PT Fajar Lestari Sejati,"Cengkareng, Jakarta",IDR4.500.000 - 5.000.000,1 – 3 tahun
Backend Engineer Java,PT Fajar Lestari Sejati,"Cengkareng, Jakarta",IDR4.500.000 - 5.000.000,1 – 3 tahun
Sales Executive,PT Fajar Lestari Sejati,"Cengkareng, Jakarta",IDR4.500.000 - 5.000.000,1 – 3 tahun
Replacement- FE Developer,PT Fajar Lestari Sejati,"Cengkareng, Jakarta",IDR4.500.000 - 5.000.000,1 – 3 tahun
Frontend Engineer / Developer,99.co,Bandung,Company prefers not to disclose,3 – 5 tahun
Frontend Engineer / Developer,99.co,Bandung,Company prefers not to disclose,3 – 5 tahun
Senior .NET Backend Engineer,99.co,Bandung,Company prefers not to disclose,3 – 5 tahun
Senior .NET Backend Engineer,99.co,Bandung,Company prefers not to disclose,3 – 5 tahun
Frontend Developer (Remote),99.co,Bandung,Company prefers not to disclose,3 – 5 tahun
FE React Native,99.co,Bandung,Company prefers not to disclose,3 – 5 tahun
FE ReactJS,99.co,Bandung,Company prefers not to disclose,3 – 5 tahun
Wordpress Developer,99.co,Bandung,Company prefers not to disclose,3 – 5 tahun
Wordpress Developer,99.co,Bandung,Company prefers not to disclose,3 – 5 tahun
Wordpress Developer,99.co,Bandung,Company prefers not to disclose,3 – 5 tahun
Wordpress Developer,99.co,Bandung,Company prefers not to disclose,3 – 5 tahun
HR Recruiter,Hon&yan,"Penjaringan, Jakarta",IDR3.000.000,1 – 3 tahun
Senior Fullstack Developer,Hon&yan,"Penjaringan, Jakarta",IDR3.000.000,1 – 3 tahun
Graphic Designer,Hon&yan,"Penjaringan, Jakarta",IDR3.000.000,1 – 3 tahun
Graphic Designer,Hon&yan,"Penjaringan, Jakarta",IDR3.000.000,1 – 3 tahun
Business Development Manager,Hon&yan,"Penjaringan, Jakarta",IDR3.000.000,1 – 3 tahun
Sr Unity Developer,Hon&yan,"Penjaringan, Jakarta",IDR3.000.000,1 – 3 tahun
Sr Unity Developer,Hon&yan,"Penjaringan, Jakarta",IDR3.000.000,1 – 3 tahun
Finance Project Manager,Hon&yan,"Penjaringan, Jakarta",IDR3.000.000,1 – 3 tahun
Karyawan Produksi Freelance,PT. Arpu Selaras Cemerlang (Indodisplay),Bandung,Company prefers not to disclose,1 – 3 tahun
Accounting & Tax SPV,PT. Arpu Selaras Cemerlang (Indodisplay),Bandung,Company prefers not to disclose,1 – 3 tahun
Human Resource Associate,Perqara,"Senopati, Jakarta",IDR5.000.000,1 – 3 tahun
Backend Developer,Perqara,"Senopati, Jakarta",IDR5.000.000,1 – 3 tahun
Software and Data Engineer,Perqara,"Senopati, Jakarta",IDR5.000.000,1 – 3 tahun
PPIC PLANNER,PT Pradha Karya Perkasa,Mojokerto,Company prefers not to disclose,1 – 3 tahun
QA Engineer,PT Pradha Karya Perkasa,Mojokerto,Company prefers not to disclose,1 – 3 tahun
QA Engineer,PT Pradha Karya Perkasa,Mojokerto,Company prefers not to disclose,1 – 3 tahun
Admin Campaign,Pt Creatorz Media Network,Serpong,IDR2.000.000 - 3.000.000,Kurang dari setahun
DOTNET DEVELOPER,PT. FEBE TEKNOLOGI DIGITAL,"Kebon Jeruk, Jakarta",IDR5.000.000 - 10.000.000,1 – 3 tahun
DOTNET DEVELOPER,PT. FEBE TEKNOLOGI DIGITAL,"Kebon Jeruk, Jakarta",IDR5.000.000 - 10.000.000,1 – 3 tahun
REPORTER,Kapanlagi Youniverse,"Menteng, Jakarta",Company prefers not to disclose,1 – 3 tahun
QA Engineer,Kapanlagi Youniverse,"Menteng, Jakarta",Company prefers not to disclose,1 – 3 tahun
Data Science Trainer,Kapanlagi Youniverse,"Menteng, Jakarta",Company prefers not to disclose,1 – 3 tahun
Accounts Executive,Kapanlagi Youniverse,"Menteng, Jakarta",Company prefers not to disclose,1 – 3 tahun
Business Development Manager (PT Mitra Aplikasi Digital),Mitra Aplikasi Digital,Jakarta,IDR10.000.000 - 12.000.000,1 – 3 tahun
