job,company,location,salary,exp
IT SUPPORT,PT. Wahana Adireksa Pratama,"Kebon Jeruk, Jakarta",IDR5.000.000 - 6.000.000,Kurang dari setahun
Human Capital Intern,Kalbis Institute,Jakarta,Company prefers not to disclose,Kurang dari setahun
Senior Legal Associate,PT Astra International Tbk,Jakarta,Company prefers not to disclose,5 – 10 tahun
Social Media Specialist,PT. Linera Samala Harum,Jakarta,Company prefers not to disclose,1 – 3 tahun
General Affair,PT Wira Internasional Teknologi,"Cakung, Jakarta",Company prefers not to disclose,1 – 3 tahun
Admin staff E-commerce,Pt. Evotech Distribusi,"Kembangan, Jakarta",Company prefers not to disclose,Kurang dari setahun
Junior Product Manager,Perqara,Jakarta,IDR8.000.000 - 12.000.000,1 – 3 tahun
Accounting,PT Astronacci International,"Kelapa Gading, Jakarta",Company prefers not to disclose,1 – 3 tahun
Social Media Admin (Part-time),FREELENS,Bandung,IDR100 - 200,Kurang dari setahun
INTERN Marketing Communication/Public Relation,Mitra Aplikasi Digital,Jakarta,IDR2.000.000 - 2.000.100,Kurang dari setahun
HR and GA officer,Pt Aims Progrez,"Kebon Jeruk, Jakarta",Company prefers not to disclose,1 – 3 tahun
Marketing,Solid Group Jakarta,Jakarta,IDR3.000.000 - 8.000.000,Kurang dari setahun
Freelance Voice Over Remote,Elite Asia,Jakarta,Company prefers not to disclose,1 – 3 tahun
Freelance Copywriter Remote,Elite Asia,Jakarta,Company prefers not to disclose,1 – 3 tahun
Marketing Manager,PT Mica Jaya Pratama,"Penjaringan, Jakarta",IDR10.000.000 - 12.000.000,1 – 3 tahun
Mechanical Engineer,PT. Paskal Kreatif Teknologi,"Kebayoran Baru, Jakarta",IDR6.000.000 - 7.500.000,1 – 3 tahun
DEPT HEAD PRODUKSI,PT Sanqua Multi Internasional,Depok,IDR100 - 200,5 – 10 tahun
Senior Marketing Strategist,Partipost Indonesia,"Cilandak, Jakarta",Company prefers not to disclose,3 – 5 tahun
UI/UX Designer,Pintar Ventura Pertama,Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Admin Inventory,PT Fajar Lestari Sejati,"Cengkareng, Jakarta",IDR4.200.000 - 5.000.000,1 – 3 tahun
HR Recruitment and Admin Staff,PT. Procon Indo Sekata,"Kemayoran, Jakarta",Company prefers not to disclose,1 – 3 tahun
HR Intern,Pt Temas. Tbk,"Sunter, Jakarta",IDR100 - 200,Kurang dari setahun
Marketing Communication,LIVESMART INDONESIA,Tangerang,IDR4.500.000 - 5.800.000,Kurang dari setahun
ADMIN INTERN,Pt Temas. Tbk,"Sunter, Jakarta",IDR1.100.000,
Freelance Translator Remote/Work from Home,Elite Asia,Jakarta,IDR100 - 200,1 – 3 tahun
Human Resource Business Partner,Digital Envision,Semarang,IDR5.000.000 - 8.000.000,3 – 5 tahun
District Manager,PT. Hatata Ecommerce Technology,Jakarta,IDR10.000.000 - 15.000.000,3 – 5 tahun
Finance Supervisor,PT Panorama Sentrawisata Tbk,Jakarta,IDR100 - 200,3 – 5 tahun
Seafood Buyer - Jabodetabek Area,eKan,Jakarta,IDR5.000.000 - 10.000.000,Kurang dari setahun
Test Analyst (654),Senja,"Senayan, Jakarta",IDR10.000.000 - 15.000.000,3 – 5 tahun
Wordpress Web Developer,PT. Bintang Jaya Unggul Sentosa,Jakarta,IDR1.500.000 - 6.000.000,1 – 3 tahun
E-Commerce Packer,PT. Binabusana Internusa,"Pulo Gadung, Jakarta",IDR4.400.000 - 4.450.000,1 – 3 tahun
Content / Social Media Strategist,PT Merdis International,"Kuningan, Jakarta",IDR7.000.000 - 9.000.000,1 – 3 tahun
Digital Marketing Internship,Mostrans Global Digilog,"Pulo Gadung, Jakarta",IDR100 - 200,Kurang dari setahun
Finance staff,Raena,Jakarta,Company prefers not to disclose,1 – 3 tahun
Customer Relationship Officer,PT. Surya Lintas Pasifik,Surabaya,IDR4.375.479 - 4.375.579,Kurang dari setahun
Senior E-commerce Admin (Fulfillment Specialist),Toko Tiga,"Tambora, Jakarta",IDR4.500.000 - 6.000.000,1 – 3 tahun
Human Resources Generalist,Pt Andaru Persada Mandiri,Bogor,IDR4.000.000 - 5.500.000,1 – 3 tahun
Legal Admin,PT PPHBI Indonesia,"Menteng, Jakarta",IDR100 - 200,Kurang dari setahun
Digital Illustrator,Giant Leap Studio,"Kemayoran, Jakarta",IDR4.900.000 - 5.500.000,1 – 3 tahun
Accounts Officer,Community Housing Limited,Denpasar,IDR6.000.000 - 8.000.000,1 – 3 tahun
Account Executive,Bigbox,Jakarta,IDR4.650.000 - 6.500.000,1 – 3 tahun
